circuit_id,circuit_ref,circuit_nm,circuit_type,race_direction,circuit_city,circuit_country,circuit_length_miles,circuit_length_km,race_nm,races_held,season_utilize
68,buddh,Buddh International Circuit,Race circuit,Clockwise,Greater Noida,India,3.194 mi,5.141 km ,Indian Grand Prix,3,2011 2013
21,imola,Autodromo Internazionale Enzo e Dino Ferrari,Race circuit,Anti-clockwise,Imola,Italy,3.050 mi,4.909 km ,"Italian Grand Prix,San Marino Grand Prix,Emilia Romagna Grand Prix",28,"1980 2006, 2020"
14,monza,Autodromo Nazionale Monza,Race circuit,Clockwise,Monza,Italy,3.600 mi,5.793 km ,Italian Grand Prix,70,"1950 1979, 1981 2020"
76,mugello,Mugello Circuit,Race circuit,Clockwise,Mugello,Italy,3.259 mi,5.245 km ,Tuscan Grand Prix,1,2020
65,pescara,Pescara Circuit,Road circuit,Clockwise,Pescara,Italy,16.031 mi,25.800 km ,Pescara Grand Prix,1,1957
28,okayama,Okayama International Circuit,Race circuit,Clockwise,Okayama,Japan,2.301 mi,3.703 km ,Pacific Grand Prix,2,1994 1995
16,fuji,Fuji Speedway,Race circuit,Clockwise,Oyama,Japan,2.835 mi,4.563 km ,Japanese Grand Prix,4,"1976 1977, 2007 2008"
22,suzuka,Suzuka Circuit,Race circuit,Part clockwise and part anti-clockwise (figure eight),Suzuka,Japan,3.608 mi,5.807 km ,Japanese Grand Prix,31,"1987 2006, 2009 2019"
35,yeongam,Korea International Circuit,Race circuit,Anti-clockwise,Yeongam,South Korea,3.489 mi,5.615 km ,Korean Grand Prix,4,2010 2013
2,sepang,Sepang International Circuit,Race circuit,Clockwise,Kuala Lumpur,Malaysia,3.444 mi,5.543 km ,Malaysian Grand Prix,19,1999 2017
32,rodriguez,Autodromo Hermanos Rodriguez,Race circuit,Clockwise,Mexico City,Mexico,2.674 mi,4.304 km ,"Mexican Grand Prix,Mexico City Grand Prix",20,"1963 1970, 1986 1992, 2015 2019"
6,monaco,Circuit de Monaco,Street circuit,Clockwise,Monte Carlo,Monaco,2.074 mi,3.337 km ,Monaco Grand Prix,66,"1950, 1955 2019"
64,ain-diab,Ain-Diab Circuit,Road circuit,Clockwise,Casablanca,Morocco,4.734 mi,7.618 km ,Moroccan Grand Prix,1,1958
39,zandvoort,Circuit Park Zandvoort,Race circuit,Clockwise,Zandvoort,Netherlands,2.642 mi,4.252 km ,Dutch Grand Prix,30,"1952 1953, 1955, 1958 1971, 1973 1985"
27,estoril,Autodromo do Estoril,Race circuit,Clockwise,Estoril,Portugal,2.709 mi,4.360 km ,Portuguese Grand Prix,13,1984 1996
62,monsanto,Circuito de Monsanto,Street circuit,Clockwise,Lisbon,Portugal,3.380 mi,5.440 km ,Portuguese Grand Prix,1,1959
59,boavista,Circuito da Boavista,Street circuit,Anti-clockwise,Porto,Portugal,4.831 mi,7.775 km ,Portuguese Grand Prix,2,"1958, 1960"
